source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,astrometric_chi2_al,astrometric_n_good_obs_al,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,abs_g_mag
3312564037520033792,67.96910450542352,0.0394349067832144,15.499376849780678,0.0187684058223082,21.836692235162875,0.0377878167300712,577.8765,105.24038497248318,0.0830226622450131,-24.29489530877176,0.0497517528690883,0.0,0.0,12,371.07425,313,10.49827,11.25919,9.680014,1.579176,2237.4988,657.4699,540.19824,1.2689393,40.44317894778473,0.2902023768526515,7.194204266131294
3310820624394671488,65.97723182921048,0.040123336422893,14.052022219297244,0.025064541186498,23.13822914414852,0.0453143029640787,510.61646,115.59549003545874,0.0859731847523524,-19.072415059110845,0.0567906457490288,0.0,0.0,11,319.68768,212,10.362146,11.124267,9.545981,1.5782852,1690.842,755.69476,638.7499,1.2667956,39.544895135983055,0.338298668278121,7.183796588473248
3311492803955469696,63.79387786396172,0.0367579694776681,14.398376403602477,0.0231564655082631,20.82764196190925,0.0383032661001382,543.7563,114.7122766596854,0.0808030131061965,-18.34469250421467,0.0632596595111,0.0,0.0,10,342.86725,188,10.930037,11.774728,10.058865,1.7158632,1432.11,491.66187,830.13477,1.2871344,37.622396942690926,0.1749218641553218,7.523237516589326
3311179340063437952,66.52006217338075,0.0675907439337757,15.0412881352145,0.0327859547069682,20.89547779008201,0.0791151471747114,264.11475,101.39912549182282,0.2311646942862678,-22.626074743969,0.085823666044264,0.0,0.4567641408138934,9,556.0653,202,11.466524,12.425738,10.517928,1.9078102,1127.7588,327.99423,328.32504,1.323667,39.09886055321903,0.9500018225493668,8.066785530239517
3406823245223942528,72.26507909102136,0.0400278617638467,18.641078943037208,0.0272513014466615,21.866688144990917,0.0420767018020566,519.68634,89.20116668534318,0.0807169828510316,-39.09345654380154,0.0470337822767662,0.0,0.0,12,422.36856,298,8.747406,9.189218,8.18523,1.0039873,1630.0674,539.03406,472.1272,1.2030487,41.62523817278003,0.1319335890171993,5.446321056186953
3308127405023027328,70.3740825457354,0.0395518196641854,13.221126747333948,0.0207713665904003,22.646571729787844,0.0495830917983627,456.7398,99.18070668044948,0.0718487822090345,-18.648489821919995,0.0400516469805498,0.0,0.0,13,973.8956,375,10.488719,11.450566,9.546908,1.9036579,3149.1484,1465.9647,2001.6945,1.3165741,40.39792686454605,0.6832458908446384,7.263731336043541
3310640648085373824,64.44920908980205,0.0483433281222928,13.661707173013747,0.029831861228949,21.074309101023143,0.0529425565983586,398.0599,109.25310072146814,0.1055277007230819,-16.849553947680292,0.0908119926864196,0.0,1.220921485072108,10,530.9034,165,11.770251,12.812274,10.727225,2.0850487,1031.6552,504.50375,712.52545,1.3941532,38.04974232290917,0.3763523754181297,8.389017728220171
144171233106399104,67.81588084563514,0.0421324046629394,20.13300003164058,0.0232505139403521,21.618673249330648,0.0465911345224099,464.0083,106.43590778931616,0.1022440838704941,-39.32449986799255,0.0636146524253317,0.0,0.0,13,674.7092,357,8.393869,8.785435,7.8749175,0.9105172,2630.0703,877.74414,1028.6803,1.1982632,39.76479209621117,0.1517025372835276,5.068014187638937
3313778207594395392,66.81981669424533,0.0424662380658856,17.24171572182765,0.0209446992271808,21.7437210801376,0.0463105097472629,469.52023,107.68473717762664,0.0825990201099736,-31.491815174650075,0.0577755995851361,0.0,1.6747652892626936e-15,12,754.5505,287,12.143844,13.300845,11.090819,2.2100258,2618.8145,584.12946,897.8871,1.3762369,40.36951307572439,0.4047576321768132,8.830513342330695
3405113740864365440,72.38424228250187,0.0467064036696717,15.888633127327658,0.0298174823604825,20.58695091831179,0.0554441603633116,371.30963,86.73038996233683,0.0825446204094737,-25.497716218020297,0.0521425398389419,0.0,0.0,13,451.84015,281,7.58252,7.8946714,7.1571903,0.7374811,5241.2607,856.1241,683.7231,1.1802909,41.36836507560733,0.1391847667630153,4.1504801455697224
